,September,October,November,December,January,February,March,April,May,June,July,August
Beyond the Blues,12262,12197,11744,11380,11616,13940,11463,11463,,,,
average length,5:55,7:26,8:32,12:14,8:06,7:26,0:00,0:00,,,,
unique visitors,960,1005,899,732,225,1,1,1,,,,
most viewed,Children,About,About,About,About,About,About,About,,,,
# times,188,117,110,119,115,366,168,168,,,,
,,,,,,,,,,,,
Women's Health,10757,12486,10945,11685,11766,10228,10954,10954,,,,
average length,6:34,6:39,3:48,2:50,8:55,7:20,0:00,0:00,,,,
unique visitors,613,670,570,600,160,1,1,1,,,,
most viewed,CAHealth,CAHealth,CAHealth,CAHealth,CAHealth,CAHealth,Mental Health,Mental Health,,,,
# times,153,190,309,172,129,88,87,87,,,,
